track,member_key,strategy,parameter,n_cases,rank_mean,pit_ecdf_ks,central_cov_90,central_cov_95,bias_unit,mean_lower_leak,mean_upper_leak,boundary_point_mass,mean_accept_rate
8d,member_2,rejection_in_support,c_th2ctx,48,0.5040204678362573,0.11293859649122806,0.8541666666666666,0.9166666666666666,-0.03535896081787845,0.00927734375,0.018880208333333332,0.0,0.7390950520833334
8d,member_2,rejection_in_support,c_ctx2th,48,0.4916341780376868,0.067251461988304,0.9375,0.9583333333333334,0.008636260133547088,0.004679361979166667,0.004801432291666667,0.0,0.7390950520833334
8d,member_3,raw_preclip,mue,48,0.5337069525666017,0.11598440545808969,0.9166666666666666,0.9791666666666666,-0.023093847286266584,0.0338134765625,0.029296875,0.0631103515625,1.0
8d,member_3,raw_preclip,mui,48,0.6072936972059779,0.2580409356725146,0.9791666666666666,1.0,-0.0020867851562798023,0.0024820963541666665,0.0016682942708333333,0.004150390625,1.0
8d,member_3,raw_preclip,b,48,0.4688921377517869,0.12560916179337228,0.875,0.9583333333333334,0.008174577378667891,0.0089111328125,0.022989908854166668,0.031901041666666664,1.0
8d,member_3,raw_preclip,tauA,48,0.5553525016244315,0.14437134502923976,0.8958333333333334,0.9166666666666666,-0.037432528799399734,0.020548502604166668,0.0361328125,0.056722005208333336,1.0
8d,member_3,raw_preclip,g_LK,48,0.5535250162443145,0.17519493177387913,0.9375,1.0,0.004139974092443784,0.013509114583333334,0.026407877604166668,0.039957682291666664,1.0
8d,member_3,raw_preclip,g_h,48,0.5508853151397011,0.1306042884990254,0.8541666666666666,0.9375,0.009817586959494898,0.007039388020833333,0.0184326171875,0.025472005208333332,1.0
8d,member_3,raw_preclip,c_th2ctx,48,0.5391487979207278,0.17202729044834308,0.9166666666666666,1.0,-0.059650581407671176,0.012532552083333334,0.0225830078125,0.035115559895833336,1.0
8d,member_3,raw_preclip,c_ctx2th,48,0.4991471734892788,0.09161793372319693,0.9375,0.9583333333333334,0.0025368982072298727,0.0033772786458333335,0.0052490234375,0.008626302083333334,1.0
8d,member_3,clipped,mue,48,0.5337069525666017,0.11598440545808969,0.9166666666666666,0.9791666666666666,-0.023093847286266584,0.0338134765625,0.029296875,0.0631103515625,1.0
8d,member_3,clipped,mui,48,0.6072936972059779,0.2580409356725146,0.9791666666666666,1.0,-0.0020867851562798023,0.0024820963541666665,0.0016682942708333333,0.004150390625,1.0
8d,member_3,clipped,b,48,0.4688921377517869,0.12560916179337228,0.875,0.9583333333333334,0.008174577378667891,0.0089111328125,0.022989908854166668,0.031901041666666664,1.0
8d,member_3,clipped,tauA,48,0.5553525016244315,0.14437134502923976,0.8958333333333334,0.9166666666666666,-0.037432528799399734,0.020548502604166668,0.0361328125,0.056722005208333336,1.0
8d,member_3,clipped,g_LK,48,0.5535250162443145,0.17519493177387913,0.9375,1.0,0.004139974092443784,0.013509114583333334,0.026407877604166668,0.039957682291666664,1.0
8d,member_3,clipped,g_h,48,0.5508853151397011,0.1306042884990254,0.8541666666666666,0.9375,0.009817586959494898,0.007039388020833333,0.0184326171875,0.025472005208333332,1.0
8d,member_3,clipped,c_th2ctx,48,0.5391487979207278,0.17202729044834308,0.9166666666666666,1.0,-0.059650581407671176,0.012532552083333334,0.0225830078125,0.035115559895833336,1.0
8d,member_3,clipped,c_ctx2th,48,0.4991471734892788,0.09161793372319693,0.9375,0.9583333333333334,0.0025368982072298727,0.0033772786458333335,0.0052490234375,0.008626302083333334,1.0
8d,member_3,rejection_in_support,mue,48,0.543859649122807,0.13535575048732945,0.8541666666666666,0.9166666666666666,-0.026331204261320334,0.0338134765625,0.029296875,0.0,0.7807210286458334
8d,member_3,rejection_in_support,mui,48,0.6081465237166992,0.28082358674463936,0.9791666666666666,1.0,-0.0020465903993075094,0.0024820963541666665,0.0016682942708333333,0.0,0.7807210286458334
8d,member_3,rejection_in_support,b,48,0.47295321637426896,0.09661306042884987,0.8958333333333334,0.9583333333333334,0.006320214752728741,0.0089111328125,0.022989908854166668,0.0,0.7807210286458334
8d,member_3,rejection_in_support,tauA,48,0.5662361923326836,0.1703216374269006,0.875,0.9166666666666666,-0.03516281031382581,0.020548502604166668,0.0361328125,4.0690104166666664e-05,0.7807210286458334
8d,member_3,rejection_in_support,g_LK,48,0.5705815464587395,0.17385477582846004,0.9166666666666666,0.9375,-0.00545808463357389,0.013509114583333334,0.026407877604166668,4.0690104166666664e-05,0.7807210286458334
8d,member_3,rejection_in_support,g_h,48,0.5588450292397661,0.16203703703703698,0.8125,0.9166666666666666,0.007724044437054545,0.007039388020833333,0.0184326171875,0.0,0.7807210286458334
