i,j,k,g_LK,g_h,c_ctx2th,sp_peak_power_log,sp_env_cv,n_events_raw,n_events_valid,n_events_verified,mean_event_dur,pac_mi,ctx_min,ctx_max,ctx_ibi_cv,ctx_n_bursts,ok,fail_reason
13,10,2,0.09428571428571429,0.07714285714285714,0.11000000000000001,0.2854821945833918,0.526749119808982,19,19,4,0.6851578947368422,0.00019325948906083161,4.767898220424492e-11,64.27283991045573,0.3700871703891714,52,True,
13,10,3,0.09428571428571429,0.07714285714285714,0.155,0.3685976117431414,0.5218168660055019,16,16,6,0.8294375,0.0004864517010679301,4.076253467647017e-11,66.0755133897782,0.13760235565104853,45,True,
13,10,4,0.09428571428571429,0.07714285714285714,0.2,0.5346976513112869,0.5303275290024081,18,18,6,0.7191666666666667,0.0016215111211866145,3.171703550895371e-11,62.59590395324173,0.42770014181590105,54,True,
13,11,0,0.09428571428571429,0.08285714285714287,0.02,0.3518485569474603,0.5081848238735609,19,19,7,0.6966315789473684,0.00040628252975773025,6.738022247847022e-11,65.90833231281762,0.40072421046406675,53,True,
13,11,1,0.09428571428571429,0.08285714285714287,0.065,0.5530417279422339,0.5399759409857064,16,16,7,0.5665,0.0017528684644479116,5.154047221300285e-11,65.80215238676483,0.36089009559264257,52,True,
13,11,2,0.09428571428571429,0.08285714285714287,0.11000000000000001,0.30208067525959725,0.5450889715102236,20,20,9,0.6415000000000002,0.0005723542808578422,2.4046733343893956e-11,64.96709041967948,0.6458956984420183,68,True,
13,11,3,0.09428571428571429,0.08285714285714287,0.155,0.4123303977755718,0.5219894027256633,18,18,8,0.6759999999999999,0.0005045058079645769,6.284105466725991e-11,66.47854591234173,0.3234084929574641,49,True,
13,11,4,0.09428571428571429,0.08285714285714287,0.2,0.3572878409099862,0.520150666999006,18,18,1,0.6699444444444445,0.0016915095634974827,6.66362861285985e-11,66.92760040581693,0.4258636559233466,54,True,
13,12,0,0.09428571428571429,0.08857142857142858,0.02,0.33420327145495565,0.5121253025310395,21,21,10,0.5854761904761904,0.0005262698073048617,2.8630068068838597e-11,65.8698285689135,0.37872525506592947,53,True,
13,12,1,0.09428571428571429,0.08857142857142858,0.065,0.36093391570934835,0.5361781549378245,21,21,14,0.6217142857142857,0.0019490887098861753,5.8073243733452465e-11,64.54892301383424,0.3785597102537671,52,True,
