track,estimator,parameter,rank_mean,rank_variance,bias_mean,mean_abs_error,median_norm_sd,median_interval_width,corr_width_abs_error,calibration_slope,calibration_intercept,rank_mean_q1,rank_mean_q2,rank_mean_q3,rank_mean_q4,mean_boundary_proximity,fraction_true_near_boundary_0p05
8d,member_4,g_h,0.5121597152847153,0.08923524062563909,0.014048591094251606,0.15963535722949018,0.7468475542500295,0.8451375675201416,0.29191049126685414,0.47775018091336474,0.2751735004143267,0.20783903596403597,0.4548147165334665,0.5652004245754245,0.8207846840659341,0.2500000001546141,0.1005859375
8d,member_4,c_th2ctx,0.5049140312812188,0.09763039160834765,-0.053749629310914315,0.16016561380092753,0.6544144310826099,0.7405396419763566,0.32311728379632865,0.5820829667056336,0.1552088872328833,0.2593578296703297,0.4116976773226773,0.5465081793206793,0.8020924388111887,0.24999999975261744,0.1005859375
8d,member_4,c_ctx2th,0.49484597433816185,0.08404156211447379,0.0071170496794366045,0.2505825756506965,0.994364411198799,1.1252292585372925,0.06338285620110148,0.003130596745805004,0.5055517507861192,0.12201470404595405,0.3691464785214785,0.6154431505994007,0.8727795641858141,0.24999999994361133,0.1005859375
8d,member_5,mue,0.5220307036713288,0.09983238120417794,-0.020583544946930488,0.14842487862733833,0.5598369457442549,0.6335151422023773,0.44377107918908903,0.5636404482803918,0.19759623071523408,0.24843125624375623,0.4366063623876124,0.5965401785714286,0.8065450174825174,0.2500000000127329,0.099609375
8d,member_5,mui,0.301432942057942,0.04244965233170576,0.00659836570139305,0.009015393637128,0.049703021305180145,0.056244263350963594,0.4202635985819971,0.9955777415928234,0.008809494927946793,0.27623548326673325,0.2887893356643357,0.3135458291708292,0.32716112012987014,0.25000000519321475,0.1005859375
8d,member_5,b,0.4986263736263736,0.08845144853418105,0.0008683378200657899,0.09669902655696205,0.388997567434911,0.44019218653440473,0.4897678894024087,0.7694454338000623,0.11614562085419294,0.3033099712787212,0.4328913274225774,0.5334197052947054,0.7248844905094904,0.2499999999472493,0.099609375
8d,member_5,tauA,0.5258715893481518,0.09893348886239185,-0.021037336948211305,0.19045258018013556,0.7329328933226296,0.8293916463851929,0.4023399241215362,0.40672244665210916,0.2756014393415511,0.2183324488011988,0.44787634240759244,0.6080521041458542,0.829225462037962,0.250000000167347,0.099609375
8d,member_5,g_LK,0.47996144480519476,0.08999227392944197,0.04257137163222069,0.15336101044522366,0.6194987051131442,0.701028778553009,0.5306663452976463,0.5385598375969922,0.2732914525600948,0.2227381993006993,0.43134990009990015,0.4799809565434565,0.7857767232767232,0.2500000001055014,0.099609375
8d,member_5,g_h,0.5068525224775224,0.08571573379419492,0.01596397313005582,0.14951735340764571,0.7614470720717263,0.8616584771871567,0.2855547963988584,0.5231088144459328,0.25440956570323575,0.20954045954045952,0.47336257492507494,0.5561977085414584,0.788309346903097,0.2500000001546141,0.1005859375
8d,member_5,c_th2ctx,0.5016419127747253,0.09589782975006107,-0.05011976394234807,0.1573228081506386,0.6691131866943415,0.7571728497743606,0.28556750190036806,0.5888415250027688,0.15545947345455405,0.2549013486513486,0.41547905219780223,0.5392615197302697,0.7969257305194806,0.24999999975261744,0.1005859375
8d,member_5,c_ctx2th,0.505578405969031,0.08524944204178597,-0.009661753896580194,0.2523838875913498,0.9902444298143397,1.1205670607089995,0.02217521851235996,0.0013975769991030917,0.4896394570825475,0.12782920204795203,0.38311688311688313,0.6305608454045954,0.8808066933066934,0.24999999994361133,0.1005859375
7d,ensemble,mue,0.5188990696803197,0.10098691356267175,-0.012003930502032745,0.146295703105352,0.5519552714021922,0.6245961880683899,0.4547808679077551,0.5855068028127353,0.195242667903864,0.25925246628371634,0.4338864260739261,0.5784527972027972,0.8040045891608392,0.2500000000127329,0.099609375
7d,ensemble,mui,0.46075506524725274,0.03836356910595207,0.0012246498590684496,0.004841848877731536,0.03127854159543887,0.03539500184357166,0.5296179381162416,0.9970958211735813,0.002676739287358451,0.4383897352647353,0.4604653159340659,0.46697833416583423,0.47718687562437556,0.25000000519321475,0.1005859375
7d,ensemble,b,0.5060915646853147,0.08706790052730586,-0.0008655484452901874,0.08940476479256176,0.36306109350816274,0.4108423033356666,0.5108685696298946,0.8057454278579478,0.09626173757026103,0.3263533341658341,0.46315793581418585,0.5256813499000998,0.7091736388611389,0.2499999999472493,0.099609375
